Id,Texto,Label,Lenguaje
52,"""this stream hits different fr""",clean,ingles
53,"""I had the same thought.""",clean,ingles
54,"""Buy ak47 shoot all USA copa""",toxic,ingles
55,"""Ragheads should be banned from our country""",hate,ingles
56,"""Genio a tope con la vida""",clean,español
57,"""estoy buscando quien pidio tu opinion""",toxic,español
58,"""puras babosadas""",toxic,español
59,"""sigue asi rey 💯""",clean,español
60,"""If you act like animals you get treated like animals""",toxic,ingles
61,"""I hate shemales deadass""",hate,ingles
62,"""todo mal contigo bro""",toxic,español
63,"""Me cagan los tortilleras culeros""",hate,español
64,"""puras mamadas""",toxic,español
65,"""Delusional gays are a cancer""",hate,ingles
66,"""Stop being such a hillbilly""",toxic,ingles
67,"""Menudo pringado estás hecho 🖕""",toxic,español
68,"""No puedo creer lo ignorante que es la gente. De verdad, ignorante. 🤬""",toxic,español
69,"""You're so useless, you can't even do one thing right.""",toxic,ingles
70,"""Revivió la industria""",clean,español
71,"""Pinches sidosos regresen a su cerro a la verga""",hate,español
72,"""Me dejaste pensando""",clean,español
73,"""Me cagan los gringos rastreros""",hate,español
74,"""bien ahi maestro 👏""",clean,español
75,"""mejor cállate a la verga""",toxic,español
76,"""eso eso no te rindas""",clean,español
77,"""Go away, you moron. You're making everyone pathetic.""",toxic,ingles
78,"""nooo pero remontamos""",clean,español
79,"""q buena partida rey :D""",clean,español
80,"""Fair play dude""",clean,ingles
81,"""das pena ajena""",toxic,español
82,"""Ya cállate el hocico pinche inútil""",toxic,español
83,"""Me das un chingo de asco wey fifi""",toxic,español
84,"""se siente buena vibra""",clean,español
85,"""Odio a los masisi lacras cachai""",hate,español
86,"""sigue asi maestro""",clean,español
87,"""hey hey gente bonita :)""",clean,español
88,"""moros de mierda""",hate,español
89,"""alguien sabe si hay drops?""",clean,español
90,"""nooo casi pero bn jugado""",clean,español
91,"""Todos los fifis son unos hediondos no mames""",hate,español
92,"""Cerrá el orto pedazo de forro""",toxic,español
93,"""otra idiotez """,toxic,español
94,"""no dumber people on earth then americans""",toxic,ingles
95,"""Eres un completo basura. ¿Por qué sigues intentándolo? 🤡""",toxic,español
96,"""All shemales are lazy fr""",hate,ingles
97,"""a qe hora termina bro?""",clean,español
98,"""thats the spirit""",clean,ingles
99,"""ufff gran decision 🔥""",clean,español
100,"""Me encanta tu estilo es único""",clean,español
101,"""qien mas ya dejo su like?""",clean,español
102,"""Odio a los peruanos rotos po""",hate,español
103,"""Easy to follow along.""",clean,ingles
104,"""No tengas miedo a fallar Me sirvió mucho gracias""",clean,español
105,"""You're cracking bestie""",clean,ingles
106,"""homosexuales pecado""",hate,español
107,"""Ídolo ¿cómo lograste ese efecto?""",clean,español
108,"""Get stuffed wanker""",toxic,ingles
109,"""Absolute numpty 🥴""",toxic,ingles
110,"""Pinches hondureños son unos arrastrados wey🤢""",hate,español
111,"""Esta es la cosa más sin cerebro que he visto. Deberías borres tu cuenta.""",toxic,español
112,"""rusos espías""",hate,español
113,"""Day of the rope""",hate,ingles
114,"""Fome cuicos pobletes comen gatos 💸""",hate,español
115,"""kekw me sorprendio eso :o""",clean,español
116,"""qien mas conectado?""",clean,español
117,"""bro neta ya basta""",toxic,español
118,"""Pana no te rindas vas por buen camino""",clean,español
119,"""otra idiotez como toda tu vida""",toxic,español
120,"""Cállate y aprendas algo. No tienes idea de lo que hablas. 😂""",toxic,español
121,"""A true dictatorship ! Let's wait and check which of the coutries will start sanctioning on U.S government? I guess none of countries, because USA is a corrupted all of countries in the world except Russia and China.""",toxic,ingles
122,"""Stop being such a moron""",toxic,ingles
123,"""Primitive coons eat dirt""",hate,ingles
124,"""neta quien t toma en serio""",toxic,español
125,"""That ending was nice 🙂""",clean,ingles
126,"""I can't believe how toxic some people are. Truly toxic.""",toxic,ingles
127,"""recien llego qe paso? :o""",clean,español
128,"""Feminazis are smell like shit period""",hate,ingles
129,"""La concha de su madre negros cabeza vagos ensucian el país 🦍""",hate,español
130,"""He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...""",toxic,ingles
131,"""Pinche pendejo ya lárgate a la verga""",toxic,español
132,"""hey chat listos pa spam xD""",clean,español
133,"""HOLA CHAT bonito <3""",clean,español
134,"""Odio a los haitianos culiaos wn""",hate,español
135,"""That punk did not get blasted for no reason!! If that cop didn't shoot him someone else would have!!""",toxic,ingles
136,"""since we now know that he never held his hands up.  Anyone who raises his hand up to show he is against the police of Ferguson is a racist scumbag.  Watch tv and count them.  There are a lot of racist scumbags out there.""",toxic,ingles
137,"""Tremenda habilidad fiera""",clean,español
138,"""even losses r fun here""",clean,ingles
139,"""You're a complete waste of space and oxygen.""",toxic,ingles
140,"""Cerrá el orto pedazo de fracasado""",toxic,español
141,"""JAJAJAJA noo puede seeeeer xD""",clean,español
142,"""Corrientes frijoleros hay que dormirlos""",hate,español
143,"""Rastreros sidosos regresen a su país""",hate,español
144,"""no sabes nada sobre la vida""",toxic,español
145,"""Espero que te quedes callado, inútil asqueroso.""",toxic,español
146,"""qien mas esta disponible?""",clean,español
147,"""Asquerosos negros regresen a su cerro""",hate,español
148,"""This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!""",toxic,ingles
149,"""Rey gracias por el tip""",clean,español
150,"""I appreciate this homie 🎉""",clean,ingles
151,"""Aweonao comunachos lacras son puro delincuente 🚩""",hate,español
152,"""No puedo creer lo sin cerebro que es la gente. De verdad, sin cerebro.""",toxic,español
153,"""me gusta cuando explicas bn 👍""",clean,español
154,"""¿Qué libro están leyendo ahora? Qué humildad la tuya""",clean,español
155,"""You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!! """,toxic,ingles
156,"""pinche comentario inútil""",toxic,español
157,"""Pinches fifis nadie los quiere wey""",hate,español
158,"""Me encanta cómo piensas""",clean,español
159,"""Get a life you karen""",toxic,ingles
160,"""F divertida run :)""",clean,español
161,"""wey aprende a leer""",toxic,español
162,"""I can't believe how trash some people are. Truly trash. 💩""",toxic,ingles
163,"""Wn venecos pobletes son puro delincuente""",hate,español
164,"""Odio a los flaites lacras alharacos 🔫""",hate,español
165,"""Me cagan los fifis mierderos""",hate,español
166,"""Fome peruanos weones valen callampa""",hate,español
167,"""GG chat se disfruto ❤️""",clean,español
168,"""Trannies are mentally ill freaks""",hate,ingles
169,"""Vaya a que se lo culeen""",toxic,español
170,"""Eres un mazapán de primera categoría""",toxic,español
171,"""Alharacos colipatos culiaos nos invaden""",hate,español
172,"""Qué pro se ve todo Gracias por el tip""",clean,español
173,"""I like the examples you used.""",clean,ingles
174,"""I watched your Zimmerman case video and you are full of SHIT. I can smell the hate seeping out of you. You bringing up RAP music and what he listens to it, or his sound-cloud is nothing more to make his charcter look as foolish and dangerous as possible. To who ever wants to respond to it this, FUCK YOU AZ WELL>..You go through so much effort to destroy Mike Brown's character by bringing up his smoking habits which have nothing to do with why he got shot. Your tone and the perfectly chosen words you use really makes Brown look like he was ""Unstable"". Look at how much detail u went trhu to slay Brown's character.""",toxic,ingles
175,"""Po masisi asquerosos comen gatos""",hate,español
176,"""JAJAJAJA épico fail 🤭""",clean,español
177,"""Lárgate de aquí, fracasado miserable.""",toxic,español
178,"""You're annoying as fuck simp""",toxic,ingles
179,"""This was simple and clear.""",clean,ingles
180,"""I hate jews smh""",hate,ingles
181,"""Man ¿es difícil aprender eso?""",clean,español
182,"""Ragheads are are poisoning our blood lmao""",hate,ingles
183,"""Esos camionas weones viren de acá wn""",hate,español
184,"""You're the reason people lose faith in humanity.""",toxic,ingles
185,"""vamosss 🎯""",clean,español
186,"""Rajá de acá pollerudo""",toxic,español
187,"""Qué broma más inútil. Solo eres un fracasado. 🖕""",toxic,español
188,"""Toxic wetbacks ruin everything""",hate,ingles
189,"""Go away, you moron. You're making everyone useless.""",toxic,ingles
190,"""mujeres derechos""",hate,español
191,"""Gracias por el tip bro""",clean,español
192,"""Ya great shitkicker""",toxic,ingles
193,"""Rice eater""",hate,ingles
194,"""Me cagan los cholos muertos de hambre😡👊""",hate,español
195,"""Odio a los haitianos culiaos alharacos""",hate,español
196,"""glad i clicked this""",clean,ingles
197,"""good vibes only here fam""",clean,ingles
198,"""aprende algo antes de hablar""",toxic,español
199,"""otra vez mal como tu vida""",toxic,español
200,"""Eres un asqueroso total. Consíguete una vida. 🤮""",toxic,español
201,"""Perhaps you should start teaching blacks that law and education is important, instead of treating them as special snowflakes?""",toxic,ingles
202,"""Aweonao flaites asquerosos váyanse a su isla 🔫""",hate,español
203,"""Esta es la cosa más molesto que he visto. Deberías borres tu cuenta. 💩""",toxic,español
204,"""Aweonao camionas monos váyanse a su isla""",hate,español
205,"""No hay por donde cogerte payaso""",toxic,español
206,"""No sirves ni para dar lástima culero""",toxic,español
207,"""Lowkey inspiring ngl.""",clean,ingles
208,"""Eres un capullo de manual""",toxic,español
209,"""Jefe me dejaste con la boca abierta""",clean,español
210,"""VAMOS grupo unas palabras de apoyo 🎉""",clean,español
211,"""estás bn estúpido""",toxic,español
212,"""tu puedes viejo""",clean,español
213,"""judíos usureros""",hate,español
214,"""wooow calidad total 😍""",clean,español
215,"""cuando sale el boss??""",clean,español
216,"""se siente buena vibra 😄""",clean,español
217,"""rusos borrachos""",hate,español
218,"""Arte puro""",clean,español
219,"""Stinking heebs spread diseases""",hate,ingles
220,"""All refugees are scum""",hate,ingles
221,"""HOLA amigo todo bien??""",clean,español
222,"""wenas bro como estan hoy :)""",clean,español
223,"""Los venecos están destruyendo nuestra cultura nos roban el aire""",hate,español
224,"""jajajaja buen cierre""",clean,español
225,"""Esos masisi rotos son puro delincuente alharacos""",hate,español
226,"""wenas wenas gente bella :)""",clean,español
227,"""que bonito stream rey""",clean,español
228,"""Alharacos flaites lacras nos invaden 🔫""",hate,español
229,"""HELLO chat o/ just joined rn""",clean,ingles
230,"""Todos los nacos son unos culeros pinche madre""",hate,español
231,"""me cansa tu ignorancia""",toxic,español
232,"""Pinches indios váyanse a la verga puñetas""",hate,español
233,"""¿Les gusta este tipo de contenido?""",clean,español
234,"""Good explanation, by the way.""",clean,ingles
235,"""nooo pero bn 👍""",clean,español
236,"""Mierderos tortilleras chinguen a su madre""",hate,español
237,"""q pro eres bro :D""",clean,español
238,"""musulmanes rezo""",hate,español
239,"""Esta es la cosa más patético que he visto. Deberías vayas a llorar. 🙄""",toxic,español
240,"""All wetbacks should be deported""",hate,ingles
241,"""No tengas miedo a fallar amigo""",clean,español
242,"""You're fresh chat""",clean,ingles
243,"""Pinches sidosos nos roban el aire hijos de la chingada""",hate,español
244,"""ni para eso sirves""",toxic,español
245,"""Mudshark""",hate,ingles
246,"""Very easy to follow.""",clean,ingles
247,"""mujeres cuotas""",hate,español
248,"""buenas noches viejo ✨""",clean,español
249,"""I hate immigrants fam""",hate,ingles
250,"""That's rad pal""",clean,ingles
251,"""big W for chat 😄""",clean,ingles
252,"""Todos los chilangos son unos nacos pinche madre""",hate,español
253,"""No tengas miedo a fallar""",clean,español
254,"""hiii streamer notice me pls :3""",clean,ingles
255,"""Péguese un tiro chichipato ☠️""",toxic,español
256,"""Hey Delete your account rat""",toxic,ingles
257,"""Estuvo de pelos pana""",clean,español
258,"""slay lad""",clean,ingles
259,"""Vete a freír espárragos, idiota.""",toxic,español
260,"""Built different chap""",clean,ingles
261,"""Carpet muncher""",hate,ingles
262,"""Está chulísimo mostro""",clean,español
263,"""does this start soon?? :P""",clean,ingles
264,"""Fome sodomitas asquerosos son puro delincuente""",hate,español
265,"""Hola pasaba a saludar""",clean,español
266,"""Me cagan los puercos rastreros""",hate,español
267,"""Eres la definición de parásito""",toxic,español
268,"""Deja de respirar mi aire, escoria inútil.""",toxic,español
269,"""Retards should be euthanized""",hate,ingles
270,"""Pinches putos son delincuentes pinche madre💩""",hate,español
271,"""alguien sabe del parche?""",clean,español
272,"""HOLA chat holaaaa 😊""",clean,español
273,"""Odio a los sodomitas weones po""",hate,español
274,"""Tienes la cara muy dura hijo de puta 🤬""",toxic,español
275,"""dale sin miedo 💪""",clean,español
276,"""bien ahi loco 💯""",clean,español
277,"""That's clean mate 💪""",clean,ingles
278,"""Putos feminazis regresen a su cerro""",hate,español
279,"""JAJAJA chat no se equivoca XD""",clean,español
280,"""Linda arriba ese ánimo""",clean,español
281,"""That's ace fella""",clean,ingles
282,"""q comentario tan chafa""",toxic,español
283,"""venezolanos ignorantes""",hate,español
284,"""Todos los putos son unos sarnosos están de la verga""",hate,español
285,"""cuando es el proximo match?""",clean,español
286,"""callate yaaaa, neta q das asco 😡""",toxic,español
287,"""Shut your mouth, you pathetic loser.""",toxic,ingles
288,"""Cállate ya, idiota sin cerebro.""",toxic,español
289,"""hola a todos!!""",clean,español
290,"""Odio a los sodomitas weones alharacos""",hate,español
291,"""who else watching rn""",clean,ingles
292,"""Usted es mucho lo lámpara 🖕""",toxic,español
293,"""Man gracias por el tip""",clean,español
294,"""slay fam""",clean,ingles
295,"""Qué nivel de detalle impresionante parce""",clean,español
296,"""No sea tan sapo y piérdase sarnoso""",toxic,español
297,"""No bother fella""",clean,ingles
298,"""clutch perfecto bro 💯""",clean,español
299,"""This guy is a dumbass. He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims.""",toxic,ingles
300,"""Éxito en todo lo que hagas Fan de esto desde ya""",clean,español
301,"""GG grupo muchas gracias ❤️""",clean,español
302,"""Pinche nopal ya lárgate a la verga""",toxic,español
303,"""Vete de aquí, payaso. Estás poniendo a todos estúpido.""",toxic,español
304,"""gg wp estuvo limpio""",clean,español
305,"""Qué broma más inservible. Solo eres un trol. 🤡""",toxic,español
306,"""Get lost, you insufferable idiot.""",toxic,ingles
307,"""Tienes magia en las manos""",clean,español
308,"""Compartido en mis redes""",clean,español
309,"""I love this homie""",clean,ingles
310,"""You're a bloody flog""",toxic,ingles
311,"""cállese señor ignorante 🤡""",toxic,español
312,"""Calm and informative 👍""",clean,ingles
313,"""Piérdete, gusano despreciable.""",toxic,español
314,"""Te odio con todo mi ser hipócrita""",toxic,español
315,"""That was interesting to watch.""",clean,ingles
316,"""For sure""",clean,ingles
317,"""Todo esfuerzo tiene su recompensa""",clean,español
318,"""Todos los feminazis son unos nacos la neta""",hate,español
319,"""Qué guay te quedó Qué risa muy bueno""",clean,español
320,"""buenas compas listos""",clean,español
321,"""jajajaja eso dolio 😂""",clean,español
322,"""Alharacos comunachos monos váyanse a su isla 🚩""",hate,español
323,"""Eres un campeón Qué pro se ve 💡""",clean,español
324,"""Me alegraste el día con esto lindo""",clean,español
325,"""¿Alguien más se siente identificado fiera?""",clean,español
326,"""Gracias por el tip rey""",clean,español
327,"""uffff nivelazo crack""",clean,español
328,"""Alharacos mapuches culiaos muéranse""",hate,español
329,"""All immigrants are lazy cringe""",hate,ingles
330,"""Worthless heebs need to go back to the zoo🐵🪳""",hate,ingles
331,"""jajaja me sorprendio :D""",clean,español
332,"""No tienes ni puta idea de nada""",toxic,español
333,"""Eres un error de la vida""",toxic,español
334,"""Eres un completo estúpido. ¿Por qué sigues publicando?""",toxic,español
335,"""No escuches a los haters tú brillas""",clean,español
336,"""F pero la pase chimba 😊""",clean,español
337,"""I agree with most of what you said.""",clean,ingles
338,"""lol me distraje xD""",clean,español
339,"""wey nadie pidio tu opinion""",toxic,español
340,"""comentario imbecil""",toxic,español
341,"""That's cheeky fella""",clean,ingles
342,"""Eres un cáncer para todos retrasado""",toxic,español
343,"""I stan this pal""",clean,ingles
344,"""Look at these disgusting trannies""",hate,ingles
345,"""Gas usted me da vómito lambón""",toxic,español
346,"""Me cagan los putos malditos""",hate,español
347,"""qué vergüenza ajena das""",toxic,español
348,"""Nadie te quiere por estúpido""",toxic,español
349,"""¿Qué opinan ustedes del tema chaval?""",clean,español
350,"""que bonito se ve todo """,clean,español
351,"""jajajaja chat se paso XD""",clean,español
352,"""pog cierre final 🔥""",clean,español
353,"""¿Quién más está emocionado?""",clean,español
354,"""Un placer saludarte""",clean,español
355,"""No servís ni para espiar nabo 🖕""",toxic,español
356,"""holaaa primera vez :3""",clean,español
357,"""how long is the stream?""",clean,ingles
358,"""no tienes idea de con quien te metes""",toxic,español
359,"""esto cuenta W? :o""",clean,español
360,"""That makes sense now.""",clean,ingles
361,"""Main character energy fam""",clean,ingles
362,"""Alharacos comunachos pobletes valen callampa 🚩""",hate,español
363,"""JAJAJAJA nooo xD""",clean,español
364,"""bien bn hecho crack""",clean,español
365,"""¿Por qué eres tan idiota? Das pena.""",toxic,español
366,"""¿Podemos colaborar algún día?""",clean,español
367,"""lol eso fue oro puro """,clean,español
368,"""Hey You fucking slag""",toxic,ingles
369,"""Sos de cuarta fracasado""",toxic,español
370,"""Corrientes Argentinos váyanse a la verga""",hate,español
371,"""chinos plaga""",hate,español
372,"""Fome cuicos lacras chupenla 💸""",hate,español
373,"""Fome mapuches monos muéranse""",hate,español
374,"""rumanos mafias""",hate,español
375,"""Infravalorado este post pana""",clean,español
376,"""L + ratio + you're a degenerate""",toxic,ingles
377,"""comentario sin sentido""",toxic,español
378,"""¿Me saludas en el próximo video?""",clean,español
379,"""Wetbacks are don't belong here lmao""",hate,ingles
380,"""go off man""",clean,ingles
381,"""Firme mi so Fan de esto desde ya""",clean,español
382,"""comentario tonto""",toxic,español
383,"""Let's get this bread""",clean,ingles
384,"""Disgusting chinks are lower than dogs""",hate,ingles
385,"""Máquina gracias por existir""",clean,español
386,"""q ridiculo te ves diciendo eso 🤡""",toxic,español
387,"""No puedo creer lo molesto que es la gente. De verdad, molesto. 👎""",toxic,español
388,"""tu puedes loco ánimos!""",clean,español
389,"""pog ese play 🤩""",clean,español
390,"""Me importa un culo su vida""",toxic,español
391,"""bro aprende algo nuevo""",toxic,español
392,"""Parasitic shemales need to be euthanized""",hate,ingles
393,"""Hazle un favor al mundo y lárgate basura""",toxic,español
394,"""Disgusting trannies are perverted pedophiles""",hate,ingles
395,"""I appreciate this bestie""",clean,ingles
396,"""I hope you stay quiet, you pathetic idiot. 🤡""",toxic,ingles
397,"""Qué crack eres sigue así""",clean,español
398,"""Get a life you moron""",toxic,ingles
399,"""¿Alguien para jugar unas partidas?""",clean,español
400,"""This was easy.""",clean,ingles
401,"""I like how relax this is.""",clean,ingles
402,"""Delusional chinks should be shot""",hate,ingles
403,"""No servís ni para espiar alcahuete 🖕""",toxic,español
404,"""hey dude how r u doing? :)""",clean,ingles
405,"""Remember,the looting(stealing) by the blacks is purely and only to gain free goods.All in the name of Mike Brown.Yea right.It's an excuse to steal-pure and simple.A good ,concise introspective Steffan.Some folks live off grievance.This follows perfectly after the white guilt segment.Keep em rollin.""",toxic,ingles
406,"""Fome mapuches rotos viren de acá""",hate,español
407,"""tu comentario es basura 🗑️""",toxic,español
408,"""q onda bro o/ llegando""",clean,español
409,"""SIII victoria """,clean,español
410,"""mejor vete""",toxic,español
411,"""Hazle un favor al mundo y lárgate""",toxic,español
412,"""¿Por qué eres tan molesto? Das pena. 🤮""",toxic,español
413,"""Go away, you moron. You're making everyone worthless.""",toxic,ingles
414,"""perfect way to relax""",clean,ingles
415,"""Immigrants are invaders""",hate,ingles
416,"""What a fucking douche bag""",toxic,ingles
417,"""Alharacos mapuches weones muéranse""",hate,español
418,"""borregos tele""",hate,español
419,"""gg bien jugado estuvo bueno 👏""",clean,español
420,"""Deja de publicar tus opiniones inútil. A nadie le importa. 💩""",toxic,español
421,"""catalanes idioma""",hate,español
422,"""Eres increíble recuérdalo siempre lindo""",clean,español
423,"""Me cagan los feminazis gatos""",hate,español
424,"""Qué maravilla de trabajo socio""",clean,español
425,"""Me cagan los peruanos corrientes""",hate,español
426,"""mejor cierra el orto""",toxic,español
427,"""Built different pal""",clean,ingles
428,"""What a stupid joke. You're just a joke.""",toxic,ingles
429,"""Me cagan los tortilleras gatos""",hate,español
430,"""A ver si te pierdes bocachancla""",toxic,español
431,"""no sabes ni la tonteria que escribiste""",toxic,español
432,"""Stop posting your ignorant opinions here. Nobody cares. 😒""",toxic,ingles
433,"""can i get a shoutout pls <3""",clean,ingles
434,"""chat buena chidori 😎""",clean,español
435,"""Zoomers are should be shot based""",hate,ingles
436,"""Odio a los masisi pobletes alharacos""",hate,español
437,"""You're based king""",clean,ingles
438,"""Ojalá te lleve la verga mugroso""",toxic,español
439,"""Culeros jotos no deberían existir""",hate,español
440,"""W facilita 😄""",clean,español
441,"""All gays are repulsive smh""",hate,ingles
442,"""no aflojes rey 😎""",clean,español
443,"""izquierdistas huelga""",hate,español
444,"""Feminism is cancer""",hate,ingles
445,"""This is useful info.""",clean,ingles
446,"""I appreciate the simplicity.""",clean,ingles
447,"""Ya cállate el hocico pinche arrastrado""",toxic,español
448,"""I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.""",toxic,ingles
449,"""Eres un cero a la izquierda.""",toxic,español
450,"""¿Por qué eres tan basura? Das pena. 👎""",toxic,español
451,"""q onda loco todo bn?? 😎""",clean,español
452,"""crushing it chap""",clean,ingles
453,"""Todos los tortilleras son unos gatos a la verga😾""",hate,español
454,"""Make me a sandwich bitch🤬🥪""",hate,ingles
455,"""Vete de aquí, perdedor. Estás poniendo a todos molesto.""",toxic,español
456,"""todo fluye bn """,clean,español
457,"""Reina aprende de los errores y sigue""",clean,español
458,"""Hey Rack off you cunt""",toxic,ingles
459,"""estás bien perdido""",toxic,español
460,"""I get it now 👍""",clean,ingles
461,"""Straightforward explanation.""",clean,ingles
462,"""hahaha nooo way xD""",clean,ingles
463,"""Compartido con mis amigos""",clean,español
464,"""okupas perro""",hate,español
465,"""socialistas paro""",hate,español
466,"""Nobody likes you dickhead 🖕""",toxic,ingles
467,"""Cállate y te quedes callado. No tienes idea de lo que hablas. 🤫""",toxic,español
468,"""comentario sin valor""",toxic,español
469,"""Campeón qué bonito mensaje compartes""",clean,español
470,"""Your life is sad noob""",toxic,ingles
471,"""indepes lazo""",hate,español
472,"""Sod off berk""",toxic,ingles
473,"""Simps are are destroying the west no cap""",hate,ingles
474,"""Ojalá te lleve la verga""",toxic,español
475,"""Kill yourself moron""",toxic,ingles
476,"""Vete de aquí, payaso. Estás poniendo a todos molesto. 🤬""",toxic,español
477,"""Everyone hates you boomer""",toxic,ingles
478,"""I hate whites kek""",hate,ingles
479,"""Tío estoy contigo en las buenas y en las malas""",clean,español
480,"""Pajeets are eat dirt fam""",hate,ingles
481,"""qien mas anda conectado?""",clean,español
482,"""Ábrase del parche mamerto""",toxic,español
483,"""I hate ghetto sluts ngl""",hate,ingles
484,"""Esos colipatos rotos chupenla po""",hate,español
485,"""I hate chinks gtfo""",hate,ingles
486,"""Eres un completo tonto. ¿Por qué sigues comentando?""",toxic,español
487,"""Alharacos masisi rotos viren de acá""",hate,español
488,"""Vete a la mierda un rato lerdo 💩""",toxic,español
489,"""All feminazis are toxic""",hate,ingles
490,"""Los feministas al paredón es la única solución""",hate,español
491,"""clutch de locos 🤩""",clean,español
492,"""Todos los sionistas son unos chupasangre sin futuro""",hate,español
493,"""I dig this bruv""",clean,ingles
494,"""Vete a la mierda, nadie te necesita.""",toxic,español
495,"""Ok groomer""",hate,ingles
496,"""No puedo creer lo tonto que es la gente. De verdad, tonto. 🤬""",toxic,español
497,"""Trashy wetbacks are poisoning our blood""",hate,ingles
498,"""Fome colipatos pobletes váyanse a su isla""",hate,español
499,"""Qué bonito mensaje compartes socio""",clean,español
500,"""You are absolutely idiotic. Why do you even try? 👎""",toxic,ingles
501,"""Get out of here, you miserable failure.""",toxic,ingles
502,"""ace limpiooo sii 😍""",clean,español
503,"""ufff gran decision""",clean,español
504,"""Esos comunachos hediondos viren de acá po 🚩""",hate,español
505,"""Built different fam""",clean,ingles
506,"""That explanation was clear.""",clean,ingles
507,"""Vete al diablo imbécil 🥴""",toxic,español
508,"""Todos los trans son unos malditos al chile🤮⚧️""",hate,español
509,"""Po mapuches weones nos invaden""",hate,español
510,"""latinos baile""",hate,español
511,"""All trannies deserve no rights""",hate,ingles
512,"""Mostro aguante todo""",clean,español
513,"""this game never gets old""",clean,ingles
514,"""se siente buena vibra aqui ✨""",clean,español
515,"""no mms, lee antes d escribir 🤦‍♂️""",toxic,español
516,"""Me cagan los judíos putos""",hate,español
517,"""Vete al diablo bestia""",toxic,español
518,"""Todos los venecos son unos mierderos pinche madre""",hate,español
519,"""Pinche puñetas ya lárgate a la verga""",toxic,español
520,"""no aflojes rey""",clean,español
521,"""SIII victoria segura 🏆""",clean,español
522,"""Sick trannies are abominations""",hate,ingles
523,"""JAJAJA timing perfecto""",clean,español
524,"""Hey You are such a douchebag""",toxic,ingles
525,"""Alharacos cuicos rotos nos invaden 💸""",hate,español
526,"""jajaja se salio de control""",clean,español
527,"""Go away, you repulsive creature.""",toxic,ingles
528,"""progres basura""",hate,español
529,"""Pinches chilangos chinguen a su madre wey🖕""",hate,español
530,"""recommended by a friend 👍""",clean,ingles
531,"""olvidanos mejor que te odiamos""",toxic,español
532,"""I hate spics gtfo""",hate,ingles
